"","country","popularity","title","artist","album_single","artist_followers","explicit","album","release_date","track_number","tracks_in_album","danceability","energy","key","loudness","mode","speechiness","acoustics","instrumentalness","liveliness","valence","tempo","duration_ms","time_signature","genre_new","days_since_release","cluster"
"7","Global",34.4,"eleven","Khalid - Summer Walker","single",12829933,FALSE,"Eleven (feat. Summer Walker)","1/5/2020",1,1,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080,4,"r&b/soul",197,"global"
"8","USA",126.65,"eleven","Khalid - Summer Walker","single",12829933,FALSE,"Eleven (feat. Summer Walker)","1/5/2020",1,1,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080,4,"r&b/soul",197,"english speaking and nordic"
"9","UK",25.6,"eleven","Khalid - Summer Walker","single",12829933,FALSE,"Eleven (feat. Summer Walker)","1/5/2020",1,1,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080,4,"r&b/soul",197,"english speaking and nordic"
"10","Australia",40.8,"eleven","Khalid - Summer Walker","single",12829933,FALSE,"Eleven (feat. Summer Walker)","1/5/2020",1,1,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080,4,"r&b/soul",197,"english speaking and nordic"
"11","Canada",116.2,"eleven","Khalid - Summer Walker","single",12829933,FALSE,"Eleven (feat. Summer Walker)","1/5/2020",1,1,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080,4,"r&b/soul",197,"english speaking and nordic"
"12","Switzerland",23.2,"eleven","Khalid - Summer Walker","single",12829933,FALSE,"Eleven (feat. Summer Walker)","1/5/2020",1,1,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080,4,"r&b/soul",197,"english speaking and nordic"
"13","Denmark",53.6,"eleven","Khalid - Summer Walker","single",12829933,FALSE,"Eleven (feat. Summer Walker)","1/5/2020",1,1,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080,4,"r&b/soul",197,"english speaking and nordic"
"14","New Zealand",18.4,"eleven","Khalid - Summer Walker","single",12829933,FALSE,"Eleven (feat. Summer Walker)","1/5/2020",1,1,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080,4,"r&b/soul",197,"english speaking and nordic"
"15","Global",6459.65,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"global"
"16","USA",4477.55,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"17","UK",9105.9,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"18","Austria",1961.1,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"19","Australia",15825.65,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"20","Belgium",9301.05,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"21","Brazil",3.2,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"southern europe and portuguese heritage"
"22","Canada",5152.05,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"23","Switzerland",5295.65,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"24","Chile",27.2,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"spanish speaking"
"25","Colombia",403.2,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"spanish speaking"
"26","Costa Rica",1667.15,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"spanish speaking"
"27","Germany",1841.7,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"28","Denmark",4834.8,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"29","Finland",3773.25,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"30","Indonesia",221.6,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"southern europe and portuguese heritage"
"31","Ireland",8995.6,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"32","Mexico",759.2,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"spanish speaking"
"33","Malaysia",9777.2,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"34","Netherlands",6214.85,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"35","Norway",6744.65,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"36","New Zealand",16924.35,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"37","Philippines",3400.8,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"southern europe and portuguese heritage"
"38","Poland",46.4,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"39","Portugal",1603.1,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"southern europe and portuguese heritage"
"40","Sweden",5371.1,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"41","Singapore",11374.35,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"42","Taiwan",5423.75,"to die for","Sam Smith","single",14303985,FALSE,"To Die For","14/2/2020",1,1,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,193795,4,"pop",274,"english speaking and nordic"
"43","Global",909.85,"graveyard","Halsey","album",12622150,FALSE,"Manic","17/1/2020",3,16,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4,"pop",302,"global"
"44","USA",1867.1,"graveyard","Halsey","album",12622150,FALSE,"Manic","17/1/2020",3,16,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4,"pop",302,"english speaking and nordic"
"45","UK",133.6,"graveyard","Halsey","album",12622150,FALSE,"Manic","17/1/2020",3,16,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4,"pop",302,"english speaking and nordic"
"46","Australia",6947.55,"graveyard","Halsey","album",12622150,FALSE,"Manic","17/1/2020",3,16,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4,"pop",302,"english speaking and nordic"
"47","Belgium",24,"graveyard","Halsey","album",12622150,FALSE,"Manic","17/1/2020",3,16,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4,"pop",302,"english speaking and nordic"
"48","Canada",1836.5,"graveyard","Halsey","album",12622150,FALSE,"Manic","17/1/2020",3,16,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4,"pop",302,"english speaking and nordic"
"49","Finland",66.4,"graveyard","Halsey","album",12622150,FALSE,"Manic","17/1/2020",3,16,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4,"pop",302,"english speaking and nordic"
"50","Ireland",307.2,"graveyard","Halsey","album",12622150,FALSE,"Manic","17/1/2020",3,16,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4,"pop",302,"english speaking and nordic"
